original_sponsor,clustered_sponsor
(HOTEL ZUM HIRSCH),(hotel Zum Hirsch)
WEST SIDE TRADE BROKERS ASS'N,West Side Trade Brokers Ass'n
GIBSON HOUSE,Gibson House
HUGOT'S,Hugot's
EPISCOPAL SPECIAL,Episcopal Special
RED STAR LINE-ANTERPWN -NY,Red Star Line - Antwerpen  - NY
BLANCO'S,Blanco's
ST. CHARLES HOTEL,St. Charles Hotel
ROUNDABOUT DINING CLUB,Roundabout Dining Club
31ST WARD BOARD OF TRADE,31st Ward Board Of Trade
NEW YORK UNIVERSITY ALUMNI ASSOCIATION,New York University Alumni Association
JAS. II. BRESLIN & BRO'S. HOTELS,Jas. Ii. Breslin & Bro's. Hotels
THE SOCIETY OF THE (FRIENDS?),The Society Of The (friends?)
AMERICAN LEGATION,(american Legation)
WASHINGTON CONGREGATIONAL CLUB,Washington Congregational Club
R.M.S.MAJESTIC,R.M.S.Majestic
COMMANDER FRANK F.FLETCHER,Commander Frank F.Fletcher
COLOMBO CRICKET CLUB,Colombo Cricket Club
CAFE DE BORDEAUX,Cafe De Bordeaux
THE HOFFMAN HOUSE,The Hoffman House
BINGHAM HOUSE,Bingham House
GETTYSBURG HIGH SCHOOL LUMNI ASSOCIATION,Gettysburg High School Lumni Association
BUSINESS MEN'S LEAGUE OF ST.LOUIS,Business Men's League Of St. Louis
HOTEL CONTINENTAL,'continental Hotel
PAWTUCKET BOAT CLUB,Pawtucket Boat Club
DELTA KAPPA EPSILON FRAT.,Delta Kappa Epsilon Frat.
BIRMINGHAM ALUMNI ASSOCIATION OF THE UNIVERSITY OF THE SOUTH,Birmingham Alumni Association Of The University Of The South
VAN NUYS,Van Nuys
ITALIAN-AMERICAN CITIZENS OF THE SIXTH ASSEMBLY DISTRICT,Italian-american Citizens Of The Sixth Assembly District
MILLINERY TRAVELING MEN'S ASSOCIATION OF CHICAGO,Millinery Traveling Men's Association Of Chicago
YE OLDE DUTCH TAVERN,Ye Olde Dutch Tavern
NORTH WESTERN RR LINE,North Western Rr Line
SQUANTUM ASSOCIATION,Squantum Association
CONGRESS HOTEL,'congress Hotel
(KING LEOPOLD II OF BELGIUM AND QUEEN MARIE-HENRIETTE),(king Leopold Ii Of Belgium And Queen Marie-henriette)
SOCIETY OF MAYFLOWER DESCENDENTS,Society Of Mayflower Descendents
EPIPHANY BROTHERHOOD,Epiphany Brotherhood
SANITARIUM HOTEL,Sanitarium Hotel
CINCINNATI MEMBERS,Cincinnati Members
MASONIC CLUB,Masonic Club
AVON SOCIETY,Avon Society
THE SAN FRANCISCO HOTEL MEN'S ASSOCIATION,The San Francisco Hotel Men's Association
Restaurant Charles & Biggles Bar,Restaurant Charles & Biggles Bar
Het havenrestaurant,Het Havenrestaurant
Bali,Bali
De Hoop Op D'Swarte Walvis,De Hoop Op D'swarte Walvis
Herta Harmer Paulusstube,Herta Harmer Paulusstube
The Buena Vista,The Buena Vista
Ult-Berliner Gchnectenhaus,Ult-berliner Gchnectenhaus
Bareschuur,Bareschuur
Restaurant (Le Pavillon du Lac) du Parc Montsouris Le Jardin de la Paresse,Restaurant (le Pavillon Du Lac) Du Parc Montsouris Le Jardin De La Paresse
Hotel Del Monte,Hotel Del Monte
TURKISH AMBASSADOR,Turkish Ambassador
The Cobble Stones,The Cobble Stones
Restaurant Franziskaner,Restaurant Franziskaner
The Harvard Club,The Harvard Club
The Palace,The Palace
Wiggins Tavern,Wiggins Tavern
Los Josan Restaurant,Los Josan Restaurant
St. Regis Roof,St. Regis Roof
S.S. United States,S. S. United States
Red Coach Grill,Red Coach Grill
S.S. Maasdam,S.S. Maasdam
Genroku Sushi,Genroku Sushi
Caribe Hiltom   Pool Terrace,Caribe Hiltom   Pool Terrace
